station_name,time_bucket,wind_speed,temperature,dew_point,relative_humidity,rainfall_amount,lon,lat,humidex
DELTA BURNS BOG,2025-12-09 00:00:00-08:00,3.86,9.15,6.67,84.73,0.0,-123.002436,49.125992,9.04
DELTA BURNS BOG,2025-12-09 00:10:00-08:00,3.96,9.18,6.5,83.3,0.0,-123.002436,49.125992,9.01
DELTA BURNS BOG,2025-12-09 00:20:00-08:00,3.28,9.06,6.57,84.3,0.0,-123.002436,49.125992,8.91
DELTA BURNS BOG,2025-12-09 00:30:00-08:00,3.41,9.03,6.52,84.4,0.0,-123.002436,49.125992,8.86
DELTA BURNS BOG,2025-12-09 00:40:00-08:00,3.42,8.99,6.33,83.3,0.0,-123.002436,49.125992,8.75
DELTA BURNS BOG,2025-12-09 00:50:00-08:00,3.17,9.02,6.08,81.9,0.0,-123.002436,49.125992,8.69
DELTA BURNS BOG,2025-12-09 01:00:00-08:00,3.21,9.01,5.9,80.82,0.0,-123.002436,49.125992,8.62
DELTA BURNS BOG,2025-12-09 01:10:00-08:00,3.18,8.59,5.83,82.7,0.0,-123.002436,49.125992,8.17
DELTA BURNS BOG,2025-12-09 01:20:00-08:00,1.93,7.83,5.52,85.6,0.0,-123.002436,49.125992,7.3
DELTA BURNS BOG,2025-12-09 01:30:00-08:00,1.51,7.5,5.91,89.5,0.0,-123.002436,49.125992,7.11
DELTA BURNS BOG,2025-12-09 01:40:00-08:00,1.66,7.37,5.96,90.8,0.0,-123.002436,49.125992,7.0
DELTA BURNS BOG,2025-12-09 01:50:00-08:00,1.86,7.36,6.37,93.4,0.0,-123.002436,49.125992,7.14
DELTA BURNS BOG,2025-12-09 02:00:00-08:00,1.35,7.28,6.05,92.09,0.0,-123.002436,49.125992,6.94
DELTA BURNS BOG,2025-12-09 02:10:00-08:00,1.39,7.03,5.81,91.7,0.0,-123.002436,49.125992,6.61
DELTA BURNS BOG,2025-12-09 02:20:00-08:00,1.61,6.68,6.25,97.1,0.0,-123.002436,49.125992,6.41
DELTA BURNS BOG,2025-12-09 02:30:00-08:00,2.23,6.92,6.44,96.7,0.0,-123.002436,49.125992,6.72
DELTA BURNS BOG,2025-12-09 02:40:00-08:00,2.3,6.82,6.1,95.0,0.0,-123.002436,49.125992,6.5
DELTA BURNS BOG,2025-12-09 02:50:00-08:00,0.5,6.26,6.11,98.9,0.0,-123.002436,49.125992,5.94
DELTA BURNS BOG,2025-12-09 03:00:00-08:00,0.0,6.16,6.15,100.0,0.0,-123.002436,49.125992,5.86
DELTA BURNS BOG,2025-12-09 03:10:00-08:00,0.74,5.91,5.88,100.0,0.0,-123.002436,49.125992,5.51
DELTA BURNS BOG,2025-12-09 03:20:00-08:00,1.2,5.72,5.71,100.0,0.0,-123.002436,49.125992,5.26
DELTA BURNS BOG,2025-12-09 03:30:00-08:00,0.93,5.45,5.42,100.0,0.0,-123.002436,49.125992,4.89
DELTA BURNS BOG,2025-12-09 03:40:00-08:00,1.5,5.25,5.23,100.0,0.0,-123.002436,49.125992,4.62
DELTA BURNS BOG,2025-12-09 03:50:00-08:00,1.37,5.17,5.13,100.0,0.0,-123.002436,49.125992,4.51
DELTA BURNS BOG,2025-12-09 04:00:00-08:00,0.73,4.98,4.96,100.0,0.0,-123.002436,49.125992,4.26
DELTA BURNS BOG,2025-12-09 04:10:00-08:00,0.47,4.86,4.83,100.0,0.0,-123.002436,49.125992,4.1
DELTA BURNS BOG,2025-12-09 04:20:00-08:00,1.46,4.54,4.54,100.0,0.0,-123.002436,49.125992,3.68
DELTA BURNS BOG,2025-12-09 04:30:00-08:00,1.21,4.22,4.21,100.0,0.0,-123.002436,49.125992,3.25
DELTA BURNS BOG,2025-12-09 04:40:00-08:00,1.83,3.84,3.82,100.0,0.0,-123.002436,49.125992,2.75
DELTA BURNS BOG,2025-12-09 04:50:00-08:00,1.7,4.14,4.13,100.0,0.0,-123.002436,49.125992,3.15
DELTA BURNS BOG,2025-12-09 05:00:00-08:00,1.45,4.0,3.98,100.0,0.0,-123.002436,49.125992,2.96
DELTA BURNS BOG,2025-12-09 05:10:00-08:00,0.97,4.1,4.06,100.0,0.0,-123.002436,49.125992,3.08
DELTA BURNS BOG,2025-12-09 05:20:00-08:00,0.78,3.72,3.71,100.0,0.0,-123.002436,49.125992,2.59
DELTA BURNS BOG,2025-12-09 05:30:00-08:00,0.39,3.88,3.87,100.0,0.0,-123.002436,49.125992,2.8
DELTA BURNS BOG,2025-12-09 05:40:00-08:00,1.94,4.12,4.1,100.0,0.0,-123.002436,49.125992,3.12
DELTA BURNS BOG,2025-12-09 05:50:00-08:00,3.14,4.19,4.17,100.0,0.0,-123.002436,49.125992,3.21
DELTA BURNS BOG,2025-12-09 06:00:00-08:00,1.54,4.25,4.2,100.0,0.0,-123.002436,49.125992,3.28
DELTA BURNS BOG,2025-12-09 06:10:00-08:00,0.52,4.07,4.06,100.0,0.0,-123.002436,49.125992,3.05
DELTA BURNS BOG,2025-12-09 06:20:00-08:00,2.33,4.49,4.46,100.0,0.0,-123.002436,49.125992,3.6
DELTA BURNS BOG,2025-12-09 06:30:00-08:00,1.51,4.18,4.16,100.0,0.0,-123.002436,49.125992,3.2
DELTA BURNS BOG,2025-12-09 06:40:00-08:00,2.11,4.18,4.15,100.0,0.0,-123.002436,49.125992,3.19
DELTA BURNS BOG,2025-12-09 06:50:00-08:00,2.54,4.2,4.18,100.0,0.0,-123.002436,49.125992,3.22
DELTA BURNS BOG,2025-12-09 07:00:00-08:00,2.19,4.31,4.28,100.0,0.0,-123.002436,49.125992,3.36
DELTA BURNS BOG,2025-12-09 07:10:00-08:00,1.57,4.49,4.45,100.0,0.0,-123.002436,49.125992,3.6
DELTA BURNS BOG,2025-12-09 07:20:00-08:00,1.32,4.45,4.43,100.0,0.0,-123.002436,49.125992,3.55
DELTA BURNS BOG,2025-12-09 07:30:00-08:00,1.06,4.45,4.44,100.0,0.0,-123.002436,49.125992,3.56
DELTA BURNS BOG,2025-12-09 07:40:00-08:00,1.99,4.99,4.97,100.0,0.0,-123.002436,49.125992,4.27
DELTA BURNS BOG,2025-12-09 07:50:00-08:00,1.97,5.28,5.27,100.0,0.0,-123.002436,49.125992,4.67
DELTA BURNS BOG,2025-12-09 08:00:00-08:00,1.28,5.38,5.36,100.0,0.0,-123.002436,49.125992,4.8
DELTA BURNS BOG,2025-12-09 08:10:00-08:00,1.38,5.16,5.15,100.0,0.0,-123.002436,49.125992,4.5
DELTA BURNS BOG,2025-12-09 08:20:00-08:00,1.01,5.11,5.11,100.0,0.0,-123.002436,49.125992,4.44
DELTA BURNS BOG,2025-12-09 08:30:00-08:00,1.1,5.34,5.31,100.0,0.0,-123.002436,49.125992,4.74
DELTA BURNS BOG,2025-12-09 08:40:00-08:00,0.06,5.33,5.33,100.0,0.0,-123.002436,49.125992,4.74
DELTA BURNS BOG,2025-12-09 08:50:00-08:00,0.28,5.67,5.66,100.0,0.0,-123.002436,49.125992,5.19
DELTA BURNS BOG,2025-12-09 09:00:00-08:00,0.88,6.1,6.09,100.0,0.0,-123.002436,49.125992,5.78
DELTA BURNS BOG,2025-12-09 09:10:00-08:00,1.55,6.31,6.28,100.0,0.0,-123.002436,49.125992,6.06
DELTA BURNS BOG,2025-12-09 09:20:00-08:00,1.53,6.42,6.41,100.0,0.0,-123.002436,49.125992,6.21
DELTA BURNS BOG,2025-12-09 09:30:00-08:00,2.44,6.7,6.7,100.0,0.0,-123.002436,49.125992,6.6
DELTA BURNS BOG,2025-12-09 09:40:00-08:00,2.88,7.22,7.2,100.0,0.0,-123.002436,49.125992,7.31
DELTA BURNS BOG,2025-12-09 09:50:00-08:00,3.15,7.76,7.73,100.0,0.0,-123.002436,49.125992,8.06
DELTA BURNS BOG,2025-12-09 10:00:00-08:00,2.14,8.11,8.1,100.0,0.0,-123.002436,49.125992,8.56
DELTA BURNS BOG,2025-12-09 10:10:00-08:00,2.5,8.36,8.35,100.0,0.0,-123.002436,49.125992,8.92
DELTA BURNS BOG,2025-12-09 10:20:00-08:00,2.64,8.69,8.68,100.0,0.0,-123.002436,49.125992,9.39
DELTA BURNS BOG,2025-12-09 10:30:00-08:00,2.34,8.96,8.96,100.0,0.0,-123.002436,49.125992,9.78
DELTA BURNS BOG,2025-12-09 10:40:00-08:00,1.68,9.12,9.1,100.0,0.0,-123.002436,49.125992,10.0
DELTA BURNS BOG,2025-12-09 10:50:00-08:00,2.12,9.35,9.35,100.0,0.0,-123.002436,49.125992,10.34
DELTA BURNS BOG,2025-12-09 11:00:00-08:00,2.2,9.66,9.65,100.0,0.0,-123.002436,49.125992,10.78
DELTA BURNS BOG,2025-12-09 11:10:00-08:00,2.75,9.86,9.53,97.8,0.0,-123.002436,49.125992,10.93
DELTA BURNS BOG,2025-12-09 11:20:00-08:00,2.57,10.09,9.64,97.1,0.0,-123.002436,49.125992,11.21
DELTA BURNS BOG,2025-12-09 11:30:00-08:00,2.57,10.38,9.51,94.4,0.0,-123.002436,49.125992,11.44
DELTA BURNS BOG,2025-12-09 11:40:00-08:00,3.36,10.39,9.25,92.6,0.0,-123.002436,49.125992,11.33
DELTA BURNS BOG,2025-12-09 11:50:00-08:00,2.54,10.33,9.17,92.6,0.0,-123.002436,49.125992,11.24
DELTA BURNS BOG,2025-12-09 12:00:00-08:00,2.08,10.35,9.1,92.0,0.0,-123.002436,49.125992,11.23
DELTA BURNS BOG,2025-12-09 12:10:00-08:00,2.85,10.31,8.99,91.7,0.0,-123.002436,49.125992,11.14
DELTA BURNS BOG,2025-12-09 12:20:00-08:00,3.07,10.21,8.94,91.8,0.0,-123.002436,49.125992,11.02
DELTA BURNS BOG,2025-12-09 12:30:00-08:00,2.68,10.19,8.96,92.1,0.0,-123.002436,49.125992,11.01
DELTA BURNS BOG,2025-12-09 12:40:00-08:00,3.23,10.2,9.02,92.5,0.0,-123.002436,49.125992,11.04
DELTA BURNS BOG,2025-12-09 12:50:00-08:00,3.04,10.25,9.04,92.1,0.0,-123.002436,49.125992,11.1
DELTA BURNS BOG,2025-12-09 13:00:00-08:00,2.98,10.2,9.07,92.64,0.0,-123.002436,49.125992,11.07
DELTA BURNS BOG,2025-12-09 13:10:00-08:00,2.79,10.2,8.97,92.2,0.0,-123.002436,49.125992,11.02
DELTA BURNS BOG,2025-12-09 13:20:00-08:00,3.0,10.19,9.02,92.4,0.0,-123.002436,49.125992,11.03
DELTA BURNS BOG,2025-12-09 13:30:00-08:00,2.67,10.12,9.05,92.9,0.0,-123.002436,49.125992,10.98
DELTA BURNS BOG,2025-12-09 13:40:00-08:00,2.33,10.1,9.18,94.2,0.0,-123.002436,49.125992,11.01
DELTA BURNS BOG,2025-12-09 13:50:00-08:00,2.05,10.06,9.18,94.3,0.0,-123.002436,49.125992,10.97
DELTA BURNS BOG,2025-12-09 14:00:00-08:00,1.78,10.04,9.26,94.91,0.0,-123.002436,49.125992,10.99
DELTA BURNS BOG,2025-12-09 14:10:00-08:00,2.19,10.0,9.14,94.3,0.0,-123.002436,49.125992,10.9
DELTA BURNS BOG,2025-12-09 14:20:00-08:00,2.5,10.01,9.22,95.0,0.0,-123.002436,49.125992,10.94
DELTA BURNS BOG,2025-12-09 14:30:00-08:00,2.82,10.01,9.19,94.5,0.0,-123.002436,49.125992,10.93
DELTA BURNS BOG,2025-12-09 14:40:00-08:00,2.95,9.98,9.18,94.7,0.0,-123.002436,49.125992,10.89
DELTA BURNS BOG,2025-12-09 14:50:00-08:00,2.32,9.9,9.04,94.5,0.0,-123.002436,49.125992,10.75
DELTA BURNS BOG,2025-12-09 15:00:00-08:00,1.95,9.8,8.89,93.91,0.0,-123.002436,49.125992,10.59
DELTA BURNS BOG,2025-12-09 15:10:00-08:00,1.85,9.79,8.84,93.8,0.0,-123.002436,49.125992,10.56
DELTA BURNS BOG,2025-12-09 15:20:00-08:00,1.62,9.66,8.74,94.0,0.0,-123.002436,49.125992,10.38
DELTA BURNS BOG,2025-12-09 15:30:00-08:00,2.45,9.49,8.14,91.3,0.0,-123.002436,49.125992,9.96
DELTA BURNS BOG,2025-12-09 15:40:00-08:00,2.78,9.4,7.94,90.6,0.0,-123.002436,49.125992,9.79
DELTA BURNS BOG,2025-12-09 15:50:00-08:00,3.01,9.19,7.99,92.2,0.0,-123.002436,49.125992,9.6
DELTA BURNS BOG,2025-12-09 16:00:00-08:00,1.84,8.96,8.02,93.45,0.0,-123.002436,49.125992,9.38
DELTA BURNS BOG,2025-12-09 16:10:00-08:00,1.69,8.94,7.92,93.1,0.0,-123.002436,49.125992,9.32
DELTA BURNS BOG,2025-12-09 16:20:00-08:00,3.02,8.91,7.89,93.0,0.0,-123.002436,49.125992,9.28
DELTA BURNS BOG,2025-12-09 16:30:00-08:00,3.03,8.77,7.89,94.2,0.0,-123.002436,49.125992,9.14
DELTA BURNS BOG,2025-12-09 16:40:00-08:00,2.54,8.69,7.86,94.7,0.0,-123.002436,49.125992,9.05
DELTA BURNS BOG,2025-12-09 16:50:00-08:00,2.66,8.62,7.84,94.8,0.0,-123.002436,49.125992,8.97
DELTA BURNS BOG,2025-12-09 17:00:00-08:00,3.3,8.55,7.72,94.36,0.0,-123.002436,49.125992,8.85
DELTA BURNS BOG,2025-12-09 17:10:00-08:00,2.27,8.41,7.84,96.2,0.0,-123.002436,49.125992,8.76
DELTA BURNS BOG,2025-12-09 17:20:00-08:00,1.06,8.17,8.13,99.7,0.0,-123.002436,49.125992,8.64
DELTA BURNS BOG,2025-12-09 17:30:00-08:00,0.9,8.03,8.03,100.0,0.0,-123.002436,49.125992,8.46
DELTA BURNS BOG,2025-12-09 17:40:00-08:00,0.75,8.0,8.0,100.0,0.0,-123.002436,49.125992,8.41
DELTA BURNS BOG,2025-12-09 17:50:00-08:00,1.34,7.92,7.91,100.0,0.0,-123.002436,49.125992,8.3
DELTA BURNS BOG,2025-12-09 18:00:00-08:00,0.64,7.89,7.88,100.0,0.0,-123.002436,49.125992,8.25
DELTA BURNS BOG,2025-12-09 18:10:00-08:00,0.54,7.72,7.72,100.0,0.0,-123.002436,49.125992,8.02
DELTA BURNS BOG,2025-12-09 18:20:00-08:00,0.1,7.77,7.77,100.0,0.0,-123.002436,49.125992,8.09
DELTA BURNS BOG,2025-12-09 18:30:00-08:00,0.06,7.82,7.8,100.0,0.12,-123.002436,49.125992,8.15
DELTA BURNS BOG,2025-12-09 18:40:00-08:00,0.18,7.81,7.8,100.0,0.32,-123.002436,49.125992,8.14
DELTA BURNS BOG,2025-12-09 18:50:00-08:00,0.79,7.81,7.8,100.0,0.58,-123.002436,49.125992,8.14
DELTA BURNS BOG,2025-12-09 19:00:00-08:00,0.7,7.8,7.78,100.0,0.95,-123.002436,49.125992,8.12
DELTA BURNS BOG,2025-12-09 19:10:00-08:00,0.76,7.8,7.8,100.0,1.2,-123.002436,49.125992,8.13
DELTA BURNS BOG,2025-12-09 19:20:00-08:00,0.82,7.82,7.8,100.0,1.28,-123.002436,49.125992,8.15
DELTA BURNS BOG,2025-12-09 19:30:00-08:00,0.51,7.89,7.86,100.0,1.28,-123.002436,49.125992,8.25
DELTA BURNS BOG,2025-12-09 19:40:00-08:00,0.54,7.89,7.86,100.0,1.22,-123.002436,49.125992,8.25
DELTA BURNS BOG,2025-12-09 19:50:00-08:00,0.66,7.83,7.8,100.0,1.24,-123.002436,49.125992,8.16
DELTA BURNS BOG,2025-12-09 20:00:00-08:00,2.19,7.73,7.72,100.0,1.35,-123.002436,49.125992,8.03
DELTA BURNS BOG,2025-12-09 20:10:00-08:00,2.41,7.64,7.63,100.0,1.48,-123.002436,49.125992,7.9
DELTA BURNS BOG,2025-12-09 20:20:00-08:00,1.78,7.59,7.55,100.0,1.94,-123.002436,49.125992,7.82
DELTA BURNS BOG,2025-12-09 20:30:00-08:00,1.19,7.49,7.48,100.0,2.18,-123.002436,49.125992,7.69
DELTA BURNS BOG,2025-12-09 20:40:00-08:00,0.73,7.41,7.4,100.0,2.46,-123.002436,49.125992,7.58
DELTA BURNS BOG,2025-12-09 20:50:00-08:00,0.64,7.4,7.4,100.0,2.54,-123.002436,49.125992,7.57
DELTA BURNS BOG,2025-12-09 21:00:00-08:00,0.69,7.35,7.31,100.0,2.25,-123.002436,49.125992,7.49
DELTA BURNS BOG,2025-12-09 21:10:00-08:00,0.74,7.3,7.3,100.0,2.08,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-09 21:20:00-08:00,1.54,7.3,7.27,100.0,1.86,-123.002436,49.125992,7.42
DELTA BURNS BOG,2025-12-09 21:30:00-08:00,0.51,7.2,7.2,100.0,1.8,-123.002436,49.125992,7.29
DELTA BURNS BOG,2025-12-09 21:40:00-08:00,0.97,7.16,7.13,100.0,1.68,-123.002436,49.125992,7.23
DELTA BURNS BOG,2025-12-09 21:50:00-08:00,1.08,7.1,7.1,100.0,1.68,-123.002436,49.125992,7.15
DELTA BURNS BOG,2025-12-09 22:00:00-08:00,1.06,7.03,7.02,100.0,1.71,-123.002436,49.125992,7.05
DELTA BURNS BOG,2025-12-09 22:10:00-08:00,3.55,6.91,6.9,100.0,1.7,-123.002436,49.125992,6.89
DELTA BURNS BOG,2025-12-09 22:20:00-08:00,3.61,6.9,6.88,100.0,1.62,-123.002436,49.125992,6.87
DELTA BURNS BOG,2025-12-09 22:30:00-08:00,1.49,6.87,6.8,100.0,1.76,-123.002436,49.125992,6.81
DELTA BURNS BOG,2025-12-09 22:40:00-08:00,1.41,6.8,6.8,100.0,1.8,-123.002436,49.125992,6.74
DELTA BURNS BOG,2025-12-09 22:50:00-08:00,1.31,6.8,6.74,100.0,1.56,-123.002436,49.125992,6.72
DELTA BURNS BOG,2025-12-09 23:00:00-08:00,1.28,6.75,6.7,100.0,1.45,-123.002436,49.125992,6.65
DELTA BURNS BOG,2025-12-09 23:10:00-08:00,0.88,6.7,6.7,100.0,1.66,-123.002436,49.125992,6.6
DELTA BURNS BOG,2025-12-09 23:20:00-08:00,2.41,6.64,6.64,100.0,1.78,-123.002436,49.125992,6.52
DELTA BURNS BOG,2025-12-09 23:30:00-08:00,4.38,6.51,6.5,100.0,1.46,-123.002436,49.125992,6.34
DELTA BURNS BOG,2025-12-09 23:40:00-08:00,4.4,6.41,6.4,100.0,1.32,-123.002436,49.125992,6.2
DELTA BURNS BOG,2025-12-09 23:50:00-08:00,3.21,6.41,6.4,100.0,1.2,-123.002436,49.125992,6.2
DELTA BURNS BOG,2025-12-10 00:00:00-08:00,2.48,6.4,6.4,100.0,1.06,-123.002436,49.125992,6.19
DELTA BURNS BOG,2025-12-10 00:10:00-08:00,2.12,6.43,6.4,100.0,0.68,-123.002436,49.125992,6.22
DELTA BURNS BOG,2025-12-10 00:20:00-08:00,3.84,6.49,6.4,100.0,0.32,-123.002436,49.125992,6.28
DELTA BURNS BOG,2025-12-10 00:30:00-08:00,2.48,6.45,6.41,100.0,0.52,-123.002436,49.125992,6.24
DELTA BURNS BOG,2025-12-10 00:40:00-08:00,1.55,6.45,6.45,100.0,0.4,-123.002436,49.125992,6.26
DELTA BURNS BOG,2025-12-10 00:50:00-08:00,2.93,6.5,6.5,100.0,0.4,-123.002436,49.125992,6.33
DELTA BURNS BOG,2025-12-10 01:00:00-08:00,1.43,6.53,6.51,100.0,0.4,-123.002436,49.125992,6.36
DELTA BURNS BOG,2025-12-10 01:10:00-08:00,0.81,6.58,6.54,100.0,0.4,-123.002436,49.125992,6.42
DELTA BURNS BOG,2025-12-10 01:20:00-08:00,1.55,6.56,6.53,100.0,0.4,-123.002436,49.125992,6.4
DELTA BURNS BOG,2025-12-10 01:30:00-08:00,2.3,6.59,6.56,100.0,0.08,-123.002436,49.125992,6.44
DELTA BURNS BOG,2025-12-10 01:40:00-08:00,1.5,6.59,6.58,100.0,0.0,-123.002436,49.125992,6.45
DELTA BURNS BOG,2025-12-10 01:50:00-08:00,2.75,6.58,6.56,100.0,0.0,-123.002436,49.125992,6.43
DELTA BURNS BOG,2025-12-10 02:00:00-08:00,1.07,6.6,6.6,100.0,0.0,-123.002436,49.125992,6.46
DELTA BURNS BOG,2025-12-10 02:10:00-08:00,2.12,6.65,6.63,100.0,0.0,-123.002436,49.125992,6.53
DELTA BURNS BOG,2025-12-10 02:20:00-08:00,0.86,6.7,6.67,100.0,0.0,-123.002436,49.125992,6.59
DELTA BURNS BOG,2025-12-10 02:30:00-08:00,2.32,6.8,6.79,100.0,0.0,-123.002436,49.125992,6.74
DELTA BURNS BOG,2025-12-10 02:40:00-08:00,3.86,6.81,6.8,100.0,0.0,-123.002436,49.125992,6.75
DELTA BURNS BOG,2025-12-10 02:50:00-08:00,3.28,6.9,6.87,100.0,0.0,-123.002436,49.125992,6.87
DELTA BURNS BOG,2025-12-10 03:00:00-08:00,3.57,6.95,6.94,100.0,0.0,-123.002436,49.125992,6.94
DELTA BURNS BOG,2025-12-10 03:10:00-08:00,2.99,7.0,7.0,100.0,0.0,-123.002436,49.125992,7.02
DELTA BURNS BOG,2025-12-10 03:20:00-08:00,2.12,7.1,7.07,100.0,0.12,-123.002436,49.125992,7.14
DELTA BURNS BOG,2025-12-10 03:30:00-08:00,0.37,7.1,7.1,100.0,0.22,-123.002436,49.125992,7.15
DELTA BURNS BOG,2025-12-10 03:40:00-08:00,0.16,7.1,7.1,100.0,0.4,-123.002436,49.125992,7.15
DELTA BURNS BOG,2025-12-10 03:50:00-08:00,0.3,7.1,7.1,100.0,0.56,-123.002436,49.125992,7.15
DELTA BURNS BOG,2025-12-10 04:00:00-08:00,1.48,7.1,7.1,100.0,0.93,-123.002436,49.125992,7.15
DELTA BURNS BOG,2025-12-10 04:10:00-08:00,0.75,7.13,7.1,100.0,1.22,-123.002436,49.125992,7.18
DELTA BURNS BOG,2025-12-10 04:20:00-08:00,0.23,7.2,7.18,100.0,1.28,-123.002436,49.125992,7.29
DELTA BURNS BOG,2025-12-10 04:30:00-08:00,0.38,7.2,7.2,100.0,1.34,-123.002436,49.125992,7.29
DELTA BURNS BOG,2025-12-10 04:40:00-08:00,0.18,7.2,7.2,100.0,1.48,-123.002436,49.125992,7.29
DELTA BURNS BOG,2025-12-10 04:50:00-08:00,0.06,7.25,7.2,100.0,1.66,-123.002436,49.125992,7.34
DELTA BURNS BOG,2025-12-10 05:00:00-08:00,0.56,7.3,7.3,100.0,1.49,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 05:10:00-08:00,0.67,7.3,7.25,100.0,1.74,-123.002436,49.125992,7.41
DELTA BURNS BOG,2025-12-10 05:20:00-08:00,0.51,7.21,7.2,100.0,1.92,-123.002436,49.125992,7.3
DELTA BURNS BOG,2025-12-10 05:30:00-08:00,1.93,7.2,7.2,100.0,2.08,-123.002436,49.125992,7.29
DELTA BURNS BOG,2025-12-10 05:40:00-08:00,1.23,7.18,7.16,100.0,2.12,-123.002436,49.125992,7.26
DELTA BURNS BOG,2025-12-10 05:50:00-08:00,1.99,7.1,7.1,100.0,2.06,-123.002436,49.125992,7.15
DELTA BURNS BOG,2025-12-10 06:00:00-08:00,0.64,7.2,7.11,100.0,2.07,-123.002436,49.125992,7.26
DELTA BURNS BOG,2025-12-10 06:10:00-08:00,1.07,7.2,7.15,100.0,1.82,-123.002436,49.125992,7.27
DELTA BURNS BOG,2025-12-10 06:20:00-08:00,1.19,7.2,7.2,100.0,1.94,-123.002436,49.125992,7.29
DELTA BURNS BOG,2025-12-10 06:30:00-08:00,0.1,7.2,7.2,100.0,1.88,-123.002436,49.125992,7.29
DELTA BURNS BOG,2025-12-10 06:40:00-08:00,0.0,7.25,7.22,100.0,1.98,-123.002436,49.125992,7.35
DELTA BURNS BOG,2025-12-10 06:50:00-08:00,0.0,7.3,7.2,100.0,2.28,-123.002436,49.125992,7.39
DELTA BURNS BOG,2025-12-10 07:00:00-08:00,0.17,7.3,7.3,100.0,2.33,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 07:10:00-08:00,0.92,7.3,7.3,100.0,2.48,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 07:20:00-08:00,1.32,7.3,7.3,100.0,2.44,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 07:30:00-08:00,0.71,7.3,7.3,100.0,2.52,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 07:40:00-08:00,0.19,7.3,7.3,100.0,2.4,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 07:50:00-08:00,0.61,7.3,7.3,100.0,2.26,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 08:00:00-08:00,0.82,7.3,7.3,100.0,2.25,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 08:10:00-08:00,1.94,7.3,7.3,100.0,2.38,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 08:20:00-08:00,1.88,7.3,7.3,100.0,2.38,-123.002436,49.125992,7.43
DELTA BURNS BOG,2025-12-10 08:30:00-08:00,1.09,7.37,7.31,100.0,2.64,-123.002436,49.125992,7.51
DELTA BURNS BOG,2025-12-10 08:40:00-08:00,0.07,7.4,7.32,100.0,2.82,-123.002436,49.125992,7.54
DELTA BURNS BOG,2025-12-10 08:50:00-08:00,0.7,7.4,7.4,100.0,2.94,-123.002436,49.125992,7.57
DELTA BURNS BOG,2025-12-10 09:00:00-08:00,0.96,7.4,7.4,100.0,3.2,-123.002436,49.125992,7.57
DELTA BURNS BOG,2025-12-10 09:10:00-08:00,0.28,7.45,7.43,100.0,3.4,-123.002436,49.125992,7.63
DELTA BURNS BOG,2025-12-10 09:20:00-08:00,0.17,7.52,7.51,100.0,3.68,-123.002436,49.125992,7.74
DELTA BURNS BOG,2025-12-10 09:30:00-08:00,1.05,7.6,7.6,100.0,3.44,-123.002436,49.125992,7.85
DELTA BURNS BOG,2025-12-10 09:40:00-08:00,1.58,7.73,7.7,100.0,3.36,-123.002436,49.125992,8.02
DELTA BURNS BOG,2025-12-10 09:50:00-08:00,1.69,7.85,7.84,100.0,3.06,-123.002436,49.125992,8.2
DELTA BURNS BOG,2025-12-10 10:00:00-08:00,1.82,7.99,7.96,100.0,2.69,-123.002436,49.125992,8.39
DELTA BURNS BOG,2025-12-10 10:10:00-08:00,1.19,8.13,8.12,100.0,2.34,-123.002436,49.125992,8.59
DELTA BURNS BOG,2025-12-10 10:20:00-08:00,0.79,8.29,8.28,100.0,2.1,-123.002436,49.125992,8.82
DELTA BURNS BOG,2025-12-10 10:30:00-08:00,1.22,8.49,8.47,100.0,2.24,-123.002436,49.125992,9.1
DELTA BURNS BOG,2025-12-10 10:40:00-08:00,1.54,8.66,8.66,100.0,2.18,-123.002436,49.125992,9.35
DELTA BURNS BOG,2025-12-10 10:50:00-08:00,0.86,8.8,8.79,100.0,2.5,-123.002436,49.125992,9.54
DELTA BURNS BOG,2025-12-10 11:00:00-08:00,0.6,8.9,8.89,100.0,2.75,-123.002436,49.125992,9.69
DELTA BURNS BOG,2025-12-10 11:10:00-08:00,1.43,9.26,9.26,100.0,3.12,-123.002436,49.125992,10.21
DELTA BURNS BOG,2025-12-10 11:20:00-08:00,2.19,9.64,9.63,100.0,3.26,-123.002436,49.125992,10.75
DELTA BURNS BOG,2025-12-10 11:30:00-08:00,2.39,9.86,9.84,100.0,3.34,-123.002436,49.125992,11.07
DELTA BURNS BOG,2025-12-10 11:40:00-08:00,2.3,9.98,9.92,100.0,3.38,-123.002436,49.125992,11.23
DELTA BURNS BOG,2025-12-10 11:50:00-08:00,1.63,9.96,9.9,100.0,3.24,-123.002436,49.125992,11.2
DELTA BURNS BOG,2025-12-10 12:00:00-08:00,0.85,9.9,9.9,100.0,3.18,-123.002436,49.125992,11.14
